,Nama Penjual,Nama Produk,Harga,Lokasi penjual,Jumlah terjual,Rating
0,Sajodo Snack & Food,SEBLAK INSTAN SAJODO SNACK,Rp22.500,Tasikmalaya,100+ terjual,4.8
1,Kylafood Jakarta,Kylafood Seblak Rempah Autentik,Rp14.000,Jakarta Selatan,250+ terjual,5.0
2,hikmah berkah jaya,seblak instant sajodo snak,Rp19.000,Jakarta Barat,1rb+ terjual,4.8
3,ivy's-kitchen,PROMO !!!! Seblak Instan Beli 20 free 1 Murah Enak,Rp4.280,Kab. Tangerang,750+ terjual,4.7
4,Sajodo Snack & Food,"[ Buy 5 Get 5 ] Special Bedug Package (Baso Aci, Seblak, Keju Aroma...",Rp150.000,Tasikmalaya,7 terjual,4.8
5,GK_Snack,KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,Rp6.000,Kab. Bandung,750+ terjual,4.9
6,SNACK JAKARTA 411,Kerupuk Seblak,Rp8.000,Jakarta Barat,500+ terjual,5.0
7,Sultan Meat Shop,Seblak Sultan instant,Rp14.000,Medan,250+ terjual,4.8
8,Lidigeli,Gelifood Combo 3pcs Seblak Ceker Tanpa Tulang Super Pedas,Rp65.000,Kab. Garut,50+ terjual,4.6
9,ajs(ale jaya snack),KERUPUK SEBLAK MINI KENCUR JABLAY BANTET PEDAS 500GRAM KILOAN,Rp23.000,Jakarta Utara,40+ terjual,4.9
10,Semesta kerupuk,Kerupuk mawar putih 1kg / kerupuk ikan/kerupuk seblak viral,Rp25.000,Tangerang Selatan,70+ terjual,4.9
11,NomeL Shop,BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,Rp5.400,Surabaya,3rb+ terjual,4.6
12,Rak Sebelah,Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,Rp56.300,Jakarta Pusat,100+ terjual,4.9
13,Sajodo Snack & Food,3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,Rp90.000,Tasikmalaya,70+ terjual,5.0
14,tokomakanankalimantan,seblak instan jeletot jajanan hits bandung 1 porsi,Rp4.180,Jakarta Barat,1rb+ terjual,4.8
15,CUANKI CULAMETAN,siomay mini kering 1kg toping seblak baso aci,Rp25.999,Kab. Garut,100+ terjual,4.9
16,Sajodo Snack & Food,SEBLAK INSTAN SAJODO SNACK,Rp22.500,Tasikmalaya,100+ terjual,4.8
17,Kylafood Jakarta,Kylafood Seblak Rempah Autentik,Rp14.000,Jakarta Selatan,250+ terjual,5.0
18,Markas Makaroni,Muria Seblak Stik Cabe Merah Snack 60 gram,Rp5.900,Kab. Bekasi,250+ terjual,4.9
19,Kylafood Jakarta,Kylafood Seblak Rempah Autentik,Rp14.000,Jakarta Selatan,250+ terjual,5.0
20,Sajodo Snack & Food,"[ Buy 5 Get 5 ] Special Bedug Package (Baso Aci, Seblak, Keju Aroma...",Rp150.000,Tasikmalaya,7 terjual,4.8
21,ICIP ICIP SNACK BANDUNG,SEBLAK KERIPIK BETON 500GR CIKRUH / SEBRING KERUPUK BETON 500GR CIKRUH,Rp45.000,Bandung,27 terjual,4.9
22,toko bemo,Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,Rp14.250,Jakarta Timur,500+ terjual,4.9
23,Sultan Meat Shop,Seblak Sultan instant,Rp14.000,Medan,250+ terjual,4.8
24,ArfaOnlineShop,TOPPING SEBLAK/BASO ACI PAKET MIX TERMURAH/CUANKI/CUANKIE,Rp34.999,Tangerang,100+ terjual,4.9
25,yohangunawan94,Kerupuk Merah Seblak 250gr BANDUNG,Rp4.750,Bandung,1rb+ terjual,5.0
26,ArfaOnlineShop,cuanki/cuankie lidah 50 pcs khas Garut topping baso Aci/seblak/boci,Rp16.999,Tangerang,100+ terjual,4.9
27,global cookware1,"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",Rp22.500,Jakarta Barat,1rb+ terjual,4.8
28,BociKakang,KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,Rp4.500,Jakarta Selatan,500+ terjual,4.7
29,Kylafood Jakarta,Seblak Rempah Autentik isi 5 pcs,Rp68.000,Jakarta Selatan,90+ terjual,4.9
30,insanprimastore,Kerupuk Joged Bawang Bibir Warna Warni mentah 500gr Seblak,Rp10.850,Tangerang Selatan,40+ terjual,4.9
31,CUANKI CULAMETAN,siomay mini kering 1kg toping seblak baso aci,Rp25.999,Kab. Garut,100+ terjual,4.9
32,The Little Snacks,Seblak Putih Pedas / Kerupuk Bawang Pedas Odjolali Oleh Oleh Bsndung,Rp9.900,Tangerang Selatan,1rb+ terjual,4.9
33,Seblak Mang Muss,SEBLAK INSTAN MANG MUSS - LEVEL 10,Rp13.999,Tasikmalaya,750+ terjual,4.9
34,Kerabat Official Store,Cuanki Lidah Kerupuk Cuanky Topping Baso Aci Seblak isi 150 Pcs,Rp33.000,Kab. Tasikmalaya,100+ terjual,4.9
35,The Little Snacks,Kerupuk Seblak Rafael Pedas Daun Jeruk | Krupuk Mawar Pedes,Rp22.900,Tangerang Selatan,40+ terjual,4.8
36,CuankiCulametan,Cuanki tahu atau batagor kering kiloan murah isi 150 seblak baso aci,Rp32.900,Kab. Garut,100+ terjual,4.9
37,Rav Jaya Display,SEBLAK INSTAN MOMMY,Rp13.900,Kab. Tangerang,1rb+ terjual,4.8
38,DUO BOCIL SNACK,Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,Depok,250+ terjual,4.9
39,Snack Zone Official,Baso urat djuara sami raos/Baso Aci Urat /Seblak,Rp28.000,Jakarta Selatan,19 terjual,5.0
40,insanprimastore,Kerupuk Seblak Rafael Mawar Kecil Mentah 500 Gr / Seblak Viral YONGKI,Rp12.500,Tangerang Selatan,40+ terjual,5.0
41,RIKI STORE 97,kerupuk seblak kering enak gurih,Rp5.000,Kab. Bogor,250+ terjual,4.8
42,Pedas Gilaa,Seblak Instant Homemade Lengkap Bumbu,Rp5.500,Surabaya,3rb+ terjual,4.8
